song,artist,id
Over And Over,"['Riley Clemmons', 'Lauren Alaina']",5AjM1AF3Gy3W5Mr4ZG7zgI
People Get Ready - Single Version,['The Impressions'],5wo2yAIvLvGwSA3JwengvI
Try a Little Tenderness,['Otis Redding'],36AlMHDBFwSsD3FQOy1R81
Relax,['Frankie Goes To Hollywood'],2K22nUTdyr48JDwI5t906t
Ms. Jackson,['OutKast'],0I3q5fE6wg7LIfHGngUTnV
School's Out,['Alice Cooper'],5Z8EDau8uNcP1E8JvmfkZe
The Times They Are A-Changin',['Bob Dylan'],52vA3CYKZqZVdQnzRrdZt6
Don't You Want Me,['The Human League'],3L7RtEcu1Hw3OXrpnthngx
Born To Be Wild - Single Version,['Steppenwolf'],3lN8PP6R2IxbLP05QpYXng
Ace of Spades,['Motörhead'],6EPRKhUOdiFSQwGBRBbvsZ
Leader Of The Pack,['The Shangri-Las'],6O5PIO5pAWxdoxvaUFQ02G
Blueberry Hill,['Fats Domino'],06PdA0DLgF4BfAeUNZAbFG
I'm So Lonesome I Could Cry - Single Version,['Hank Williams'],0QzlD9ie99w8XiaZ3SMXMI
Back In Black,['AC/DC'],08mG3Y1vljYA6bvDt4Wqkj
Let It Happen,['Tame Impala'],2X485T9Z5Ly0xyaghN73ed
Living For The City,['Stevie Wonder'],1O1mCVN5hue4lOOqd5EysZ
Running Up That Hill (A Deal With God) - 2018 Remaster,['Kate Bush'],29d0nY7TzCoi22XBqDQkiP
Enter Sandman,['Metallica'],5BIMPccDwShpXq784RJlJp
The Model - 2009 Remaster,['Kraftwerk'],1FL9DHDSED6lxNMDJUJQvB
Hotline Bling,['Drake'],0wwPcA6wtMf6HUMpIRdeP7
Girls and Boys - 2012 Remaster,['Blur'],2qrL1YF9aA865b6SKhLZ78
Royals,['Lorde'],2dLLR6qlu5UJ5gk0dKz0h3
Windowlicker,['Aphex Twin'],60Pe9j2pCBa4Zp4ztf5nhd
Green Light,['Rod Wave'],0by8c0tvXiwBHKkCpsvLNt
Cannonball,['The Breeders'],2hjGuRIEfEGzQ5MEWLowiU
Stan,"['Eminem', 'Dido']",3UmaczJpikHgJFyBTAJVoz
Beat It,['Michael Jackson'],1OOtq8tRnDM8kG2gqUPjAj
Idioteque,['Radiohead'],7xqeIdLJSf3bgmZ7vUvHrE
You Send Me,['Sam Cooke'],5aivQ5CkXXHJoMLy0o92HL
96 Tears,['? & The Mysterians'],4PEeZ2U4UfP2Jo8EtIOjus
Free Bird,['Lynyrd Skynyrd'],5EWPGh7jbTNO2wakv8LjUI
Lose Yourself - Soundtrack Version,['Eminem'],1a3xfVZyJnlKn4t65ccBbp
Da Funk,['Daft Punk'],0MyY4WcN7DIfbSmp5yej5z
I Can See For Miles - Mono Version,['The Who'],2Io7srQuuTtxeFQ1kNsGCj
Just like Heaven,['The Cure'],76GlO5H5RT6g7y0gev86Nk
Lust For Life (with The Weeknd),"['Lana Del Rey', 'The Weeknd']",0mt02gJ425Xjm7c3jYkOBn
Teen Age Riot (Album Version),['Sonic Youth'],0WIbzDVEpmOyBnqqdtqIL9
Summer in the City - Remastered,"[""The Lovin' Spoonful""]",7AzFID6u1b3zIWbd9pb8Dk
One More Time,['Daft Punk'],0DiWol3AO6WpXZgp0goxAV
Dazed and Confused - 1990 Remaster,['Led Zeppelin'],6hu1f1cXSw7OAqhpSQ2zDy
Sweet Home Alabama,['Lynyrd Skynyrd'],7e89621JPkKaeDSTQ3avtg
Tumbling Dice,['The Rolling Stones'],4hq0S6wznq7SHDyMOFXL9i
Suzanne,['Leonard Cohen'],2L93TdW2GMue1H2zlkt30F
Fell In Love With A Girl,['The White Stripes'],6YK2tAEYnHgYkkC6TSziqM
Video Games - Remastered,['Lana Del Rey'],24jvD83UgLmrdGjhWTFslY
Theme From Shaft - Album - Remastered,['Isaac Hayes'],7KMILVTQdVS4zQ8ilTcpRO
Let's Get It On,['Marvin Gaye'],0jHkgTtTaqg5LNCiYDQPUB
Fools Gold - Remastered,['The Stone Roses'],2mv6GY70UsHiTCGQZ4JfgC
Gimme Some Lovin' - Single Mix,['The Spencer Davis Group'],3qCHUm73I3o5F1mDEfibzo
Bring The Noise,['Anthrax'],1p50Ir1Hm6Sa1urjaLGi7L
Fight For Your Right,['Beastie Boys'],5NLuC70kZQv8q34QyQa1DP
Ring of Fire - Single Version,['Johnny Cash'],5QJ2cY8cvE8hL61nWcLuMD
Sexual Healing,['Marvin Gaye'],3VZmChrnVW8JK6ano4gSED
Under the Bridge,['Red Hot Chili Peppers'],3d9DChrdc6BOeFsbrZ3Is0
Brass in Pocket - 2006 Remaster,['Pretenders'],1QaJWSCk3UMKLotnPCIHh1
Why Do Fools Fall in Love,"['Frankie Lymon', 'The Teenagers']",2xKfXRhw5xaUXfevJJspZf
No One Knows,['Queens of the Stone Age'],6NvRxjfYkkT2SpirAlmsjH
This Land Is Your Land,['Mary Robertson'],5nMuRfykxzwgl23IrUa5xY
You Can't Always Get What You Want,['The Rolling Stones'],6lFZbCc7pn6Lme1NP7qQqQ
Stop! In The Name Of Love - Single Version,['The Supremes'],52FlwUMMDnTK8TGkCag9Jd
Radio Free Europe,['R.E.M.'],46dGFTD918NMz1IP1rPJXO
Toxic,['Britney Spears'],6I9VzXrHxO9rA9A5euc8Ak
I Am The Walrus - Remastered 2009,['The Beatles'],6Pq9MmkDQYZiiCDpxnvrf6
WAKE UP,['Travis Scott'],20MuVazoNMv6xjKPnRFOxG
Israelites,['Desmond Dekker'],18GLelA5vVdzd9X7WGPmJ8
Bye Bye Love,['The Everly Brothers'],6oRHRkQigTzJ3KwpO3XOV6
Gloria: In Excelsis Deo,['Patti Smith'],272Z4tzaSMMcgrZ0R494S2
"Shake, Rattle And Roll",['Bill Haley & His Comets'],5z2Gef9D3UgRquZXe7UUW4
Rumble,['Link Wray & The Wraymen'],1LtCnfSg27XkyOAGCJo10g
La Bamba - Single Version,['Ritchie Valens'],2aEeghgUcnu75tzcolFMfs
Heart of Gold - 2009 Remaster,['Neil Young'],1Q1b8eVkUPGlpSArl8JAVw
Come Together - Remastered 2009,['The Beatles'],2EqlS6tkEnglzr7tkKAAYD
Ashes to Ashes - 2017 Remaster,['David Bowie'],37CRPk0L5ZpfPeePEPwE0t
Somebody To Love - 2011 Mix,['Queen'],6cFZ4PLC19taNlpl9pbGMf
Do You Realize??,['The Flaming Lips'],2DFRFqWNahKtFD112H2iEZ
Ticket To Ride - Remastered 2009,['The Beatles'],7CZiDzGVjUssMSOXrDNYHL
Monkey Gone to Heaven,['Pixies'],1lFC3sMgOcDrVzNh8zXRnl
Lola - Coca Cola Version,['The Kinks'],0UAJH0k4k3slcE83a9UGCe
More Than a Feeling,['Boston'],1QEEqeFIZktqIpPI4jSVSF
Two Weeks,['Grizzly Bear'],0iTpQYzJnYgh7kIxyq8A2O
Voodoo Child (Slight Return),['Jimi Hendrix'],2AxCeJ6PSsBYiTckM0HLY7
Going Underground,['The Jam'],6ALPLbDJ9eWVij9ep3Cgf4
I Say a Little Prayer,['Aretha Franklin'],3NfxSdJnVdon1axzloJgba
Archangel,['Amaranthe'],63aGgWIoGfl3wxykzje8eJ
