,Song,Artist
630,Be gentle,B.V.S.M.P.
631,The twist,The Fat Boys
632,Im nin' alu,Ofra Haza
633,Suéltate el pelo,Hombres G
634,Cross my heart,Eighth Wonder
635,Domino dancing,Pet Shop Boys
636,Desire,U2
637,Bad medicine,Bon Jovi
638,Asimbonanga,Johnny Clegg & Savuka
639,Nothing's gonna change my love for you,Glenn Medeiros
640,"Don't worry, be happy!",Bobby McFerrin
641,Vas a enloquecer,La Década Prodigiosa
642,Bajo la luz de la luna,Los Rebeldes
643,Entre tú y yo,El Norte
644,Por las noches,Los Ronaldos
645,Nada sin tí,Eros Ramazzotti
646,Teardrops,Womack and Womack
647,Left to my own devices,Pet Shop Boys
648,Take me to your Heart,Rick Astley
649,Baby don't forget my number,Milli Vanilli
650,Vivir al este del Edén,La Unión
651,A este lado de la carretera,Danza Invisible
652,Mujer contra mujer,Mecano
653,Adios papá,Los Ronaldos
654,She drives me crazy,Fine Young Cannibals
655,Quiero ser como tú,Rey Lui
656,Mil calles llevan hacia ti,La Guardia
657,Like a prayer,Madonna
658,You got it,Roy Orbison
659,Flor venenosa,Héroes del Silencio
660,The Pasadenas Medley: Tribute / Riding on a train,The Pasadenas
661,Help,Bananarama
662,Mi novio es un zombi,Alaska y Dinarama
663,Eternal flame,The Bangles
664,The sound of c,Confetti's
665,Más y más,La Unión
666,Lullaby,The Cure
667,Te dejé marchar,Luz Casal
668,The look,Roxette
669,I want it all,Queen
670,My brave face,Paul McCartney
671,Aquí no hay playa,The Refrescos
672,Cadillac solitario,Loquillo y Los Trogloditas
673,Good thing,Fine Young Cannibals
674,Batdance,Prince
675,"Chico, tienes que cuidarte",Hombres G
676,Acid Mix: Que díficil es hacer el amor en un Simca 1000 / ...,Los Inhumanos
677,I wanna dance (Quiero bailar),Orquesta Mondragón
678,Dançando Lambada,Kaoma
679,Loco Mía,Loco Mía
680,Los amigos de mis amigas son mis amigos,Objetivo Birmania
681,Toro mecánico,Dinamita pa' los Pollos
682,Maracaibo,La Unión
683,Losing my mind,Pet Shop Boys
684,Swing the mood,Jive Bunny and The Mastermixers
685,Mixed emotions,The Rolling Stones
686,Quiero un camión,Loquillo y Los Trogloditas
687,El souvenir,Álex y Christina
688,That's what I like,Jive Bunny and The Mastermixers
689,Cuélate en mi música,La Década Prodigiosa
690,Don't wanna lose you,Gloria Estefan
691,Voy a pasármelo bien,Hombres G
692,Solo se vive una vez,Gabinete Caligari
693,Another day in paradise,Phil Collins
694,I'm gonna miss you,Milli Vanilli
695,Right here waiting,Richard Marx
696,All around the world,Lisa Stansfield
697,Great balls of fire,Jerry Lee Lewis
698,Landslide of love,Transvision Vamp
699,Words,The Christians
700,I feel the earth move,Martika
701,Nacido para volar,La Frontera
702,No me importa nada,Luz Casal
703,Rozando la eternidad,Duncan Dhu
704,Can't  shake the feeling,Big Fun
705,Get up (before the night is over),Technotronic
706,You got it (the right stuff),New Kids on the Block
707,Nothing compares 2 U,Sinéad O'Connor
708,Enjoy the silence,Depeche Mode
709,Live together (New version),Lisa Stansfield
710,Cosas de la edad,Modestia Aparte
711,Veneno en la piel,Radio Futura
712,Vogue,Madonna
713,Mía,Los Rebeldes
714,Canta por mí,El Último de la Fila
715,No problem,Los Inhumanos
716,Si bastasen un par de canciones,Eros Ramazzotti
717,The power,Snap!
718,Soldados del amor,Olé Olé
719,La abuela,Wilfred y La Ganga
720,Beach Boys megamix,The Beach Boys
