,Song,Artist,songID
112,A Whiter Shade Of Pale,CHIC,"['A Whiter Shade of Pale - Original Single Version', ['Procol Harum'], '78ZqE2tjAxbqEGGlvGnQfT']"
113,Fortunate Son,Sinéad O'Connor,"['Fortunate Son', ['Creedence Clearwater Revival'], '4BP3uh0hFLFRb5cjsgLqDh']"
114,Losing My Edge,The Police,"['Losing My Edge', ['LCD Soundsystem'], '1XlDNpWy8dyEljyRd0RC2J']"
115,Paranoid,Various Artists,"['Paranoid', ['Post Malone'], '3fpVWegR6YOS1Yk5HSMYIq']"
116,She Loves You - Remastered,Creedence Clearwater Revival,"['She Loves You - Remastered 2009', ['The Beatles'], '48JM82SHQTBYkhEYhMaOaa']"
117,Bridge over Troubled Water,LCD Soundsystem,"['Bridge Over Troubled Water', ['Simon & Garfunkel'], '6l8EbYRtQMgKOyc1gcDHF9']"
118,Blue Suede Shoes,Black Sabbath,"['Blue Suede Shoes', ['Elvis Presley'], '47gmoUrZV3w20JAnQOZMcO']"
119,Rapper's Delight - Long Version,The Beatles,"[""Rapper's Delight - Long Version"", ['The Sugarhill Gang'], '0RxphrRef802DdWKfTZiVG']"
120,Papa's Got A Brand New Bag - Pt. 1,Simon & Garfunkel,"[""Papa's Got A Brand New Bag - Pt. 1"", ['James Brown'], '58cAopfBOtm1Sgifx99jtR']"
121,Tangled up in Blue,Various Artists,"['Tangled up in Blue', ['Bob Dylan'], '6Vcwr9tb3ZLO63F8DL8cqu']"
122,The Sound of Silence - Electric Version,Various Artists,"['The Sound of Silence - Electric Version', ['Simon & Garfunkel'], '2YplrdHMBoRdnHgMeHEwHm']"
123,Great Balls Of Fire,Various Artists,"['Great Balls Of Fire', ['Jerry Lee Lewis'], '5UvE5QlINnvEc7aFO14DVL']"
124,Rehab,Bob Dylan,"['Rehab (Winter In Paris)', ['Brent Faiyaz'], '0zWbYGQq5O1KQd0iqzgjP6']"
125,Maybellene - Single Version,Simon & Garfunkel,"['Maybellene - Single Version', ['Chuck Berry'], '1cIWQWDwmN3sgifEDccHSS']"
126,Green Onions - 45 Version,Various Artists,"['Green Onions - 45 Version', [""Booker T. & the M.G.'s""], '6KKcey1w86oP0qxN8frbfD']"
127,Born Slippy (Nuxx),Amy Winehouse,"['Born Slippy (Nuxx)', ['Underworld'], '7xQYVjs4wZNdCwO0EeAWMC']"
128,Maggie May,Chuck Berry,"['Maggie May', ['Rod Stewart'], '6rovOdp3HgK1DeAMYDzoA7']"
129,Creep,Booker T. & the M.G.'s,"['Creep', ['Radiohead'], '6b2oQwSGFkzsMtQruIWm2p']"
130,Live Forever,Underworld,"['Live Forever', ['Lil Peep'], '0glTZHa9SxsDpeCQGc9AVs']"
131,"No Woman, No Cry - Live At The Lyceum, London/1975",Rod Stewart,"['No Woman, No Cry - Live At The Lyceum, London/1975', ['Bob Marley & The Wailers'], '423hwXFgoN8RYmqLoLuVvY']"
132,Won't Get Fooled Again - Original Album Version,Radiohead,"[""Won't Get Fooled Again - Original Album Version"", ['The Who'], '0cJPLFrlV7TTCyPLupHzcH']"
133,My Girl - Single Version/Mono,Oasis,"['Runaway Child, Running Wild - Single Version/Mono', ['The Temptations'], '181cvELM8M0uqcy9G4hqH5']"
134,Stayin' Alive - 2007 Remastered Version Saturday Night Fever,Bob Marley & The Wailers,
135,Be-Bop-A-Lula,The Who,"['Be-Bop-A-Lula', ['Gene Vincent & His Blue Caps'], '0HUp7ipIDJvITTqizN6cxJ']"
136,"Oh, Pretty Woman",Various Artists,"['Oh, Pretty Woman', ['Roy Orbison'], '48i055G1OT5KxGGftwFxWy']"
137,Brown Sugar,Bee Gees,"['Brown Sugar - 2009 Mix', ['The Rolling Stones'], '61UuPxxYUvacEH6SHIK3sU']"
138,Time to Pretend,Gene Vincent,"['Time to Pretend', ['MGMT'], '4iG2gAwKXsOcijVaVXzRPW']"
139,Marquee Moon - Remastered,Various Artists,"['Marquee Moon - Remastered', ['Television'], '3MWdMCAIFPzcIUdiEi8Pao']"
140,Last Nite,The Rolling Stones,"['Last Nite', ['The Strokes'], '3SUusuA9jH1v6PVwtYMbdv']"
141,Purple Rain,MGMT,"['Purple Rain', ['Prince'], '54X78diSLoUDI3joC2bjMz']"
142,Psycho Killer - 2005 Remaster,Television,"['Psycho Killer - 2005 Remaster', ['Talking Heads'], '1i6N76fftMZhijOzFQ5ZtL']"
143,Tomorrow Never Knows - Remastered,The Strokes,"['Tomorrow Never Knows - Remastered 2009', ['The Beatles'], '00oZhqZIQfL9P5CjOP6JsO']"
144,Kids,Prince,"['Kids', ['MGMT'], '1jJci4qxiYcOHhQR247rEU']"
145,Song 2 - 2012 Remaster,Talking Heads,"['Song 2 - 2012 Remaster', ['Blur'], '1FTSo4v6BOZH9QxKc3MbVM']"
146,Honky Tonk Women - Mono Version,The Beatles,"['Honky Tonk Women - Mono Version', ['The Rolling Stones'], '3RZMzCvYsmJ0u2ioKTOsmJ']"
147,I Bet You Look Good On The Dancefloor,MGMT,"['I Bet You Look Good On The Dancefloor', ['Arctic Monkeys'], '29EkMZmUNz1WsuzaMtVo1i']"
148,Jailhouse Rock,Blur,"['Jailhouse Rock', ['Elvis Presley'], '4gphxUgq0JSFv2BCLhNDiE']"
149,Maps,The Rolling Stones,"['Maps', ['Maroon 5'], '4gbVRS8gloEluzf0GzDOFc']"
150,When a Man Loves a Woman,Arctic Monkeys,"['When a Man Loves a Woman', ['Percy Sledge'], '51FpzuGkRYXFgsE2zXt9av']"
151,Baba O'Riley,Elvis Presley,"[""Baba O'Riley"", ['The Who'], '3qiyyUfYe7CRYLucrPmulD']"
152,Get It On,Yeah Yeah Yeahs,"['Get It On Tonite', ['Montell Jordan'], '0AcLrSfAEBQcUnHOTm5pXg']"
153,Will You Still Love Me Tomorrow,Percy Sledge,"['Will You Still Love Me Tomorrow? - 2011', ['Amy Winehouse'], '0LbK1bodGLc9xmV1cS9jvL']"
154,White Rabbit,The Who,"['White Rabbit', ['Jefferson Airplane'], '4vpeKl0vMGdAXpZiQB2Dtd']"
155,Tainted Love,T. Rex,"['Tainted Love', ['Soft Cell'], '58E1XVmZTODC67YNjneuXM']"
156,Empire State Of Mind [Jay-Z + Alicia Keys],Various Artists,"['Empire State Of Mind (In the Style of ""Jay-Z & Alicia Keys"") [Performance Track with Demonstration Vocals]', ['Done Again'], '6sLeKXRd18llTYeqiCT0lK']"
157,I Walk The Line - Single Version,Jefferson Airplane,"['Are the Good Times Really Over (I Wish a Buck Was Still Silver) - Single Version', ['Merle Haggard'], '1Qbqq0ZjjIuqa3DQPIUiZz']"
158,Like a Prayer,Soft Cell,"['Like a Prayer', ['Madonna'], '1z3ugFmUKoCzGsI6jdY4Ci']"
159,In My Life - Remastered,JAY-Z,"['In My Life - Remastered 2009', ['The Beatles'], '3KfbEIOC7YIv90FIfNSZpo']"
160,Teenage Kicks,Various Artists,"['Teenage Kicks', ['The Undertones'], '7ATyLePQnHxFk5kzxWCcsh']"
161,(Don't Fear) The Reaper,Madonna,"[""(Don't Fear) The Reaper"", ['Blue Öyster Cult'], '5QTxFnGygVM4jFQiBovmRo']"
162,Help! - Remastered,The Beatles,"['Help! - Remastered 2009', ['The Beatles'], '7DD7eSuYSC5xk2ArU62esN']"
163,Wuthering Heights,The Undertones,"['Wuthering Heights', ['Kate Bush'], '5YSI1311X8t31PBjkBG4CZ']"
164,Virginia Plain,Blue Öyster Cult,"['Virginia Plain', ['Roxy Music'], '5ZgNecJcN9SSopnmCTlpXs']"
165,Roadrunner (Twice),The Beatles,"['Once or Twice', [""Hal Smith's Roadrunners"", 'Rebecca Kilgore'], '5wmQnI9R8nhyPv2FqEckks']"
166,There She Goes,Kate Bush,"['There She Goes', [""The La's""], '0SMkzFGJOBFDI9KfYD55L0']"
167,I Wanna Be Your Dog,Roxy Music,"['I Wanna Be Your Dog', ['The Stooges'], '672N8DGGTOLCOgWe0koX5g']"
168,Sunday Bloody Sunday,The Modern Lovers,"['Sunday Bloody Sunday - Remastered 2008', ['U2'], '6C4LXC9UFH1IKiHYOp0BiJ']"
169,Umbrella,The La's,"['Umbrella', ['Rihanna', 'JAY-Z'], '49FYlytm3dAAraYgpoJZux']"
170,Smoke On the Water,The Stooges,"['Smoke on the Water', ['Deep Purple'], '5SAUIWdZ04OxYfJFDchC7S']"
171,While My Guitar Gently Weeps - Remastered,U2,"['While My Guitar Gently Weeps - Remastered 2009', ['The Beatles'], '389QX9Q1eUOEZ19vtzzI9O']"
172,Into the Groove,Rihanna,"['Into the Groove', ['Madonna'], '2m0M7YqCy4lXfedh18qd8N']"
173,Family Affair - Single Version,Deep Purple,"['Family Affair - Single Version', ['Sly & The Family Stone'], '2GVEs1sn5Q1jB1976vQoAX']"
174,(White Man) In Hammersmith Palais,The Beatles,"['(White Man) in Hammersmith Palais', ['The Clash'], '45xBWOa6oEAk1WlVyr5QAB']"
175,Eleanor Rigby - Remastered,Madonna,"['Eleanor Rigby - Remastered 2009', ['The Beatles'], '5GjPQ0eI7AgmOnADn1EO6Q']"
176,Sunshine Of Your Love,Sly & The Family Stone,"['Sunshine Of Your Love', ['Cream'], '2K2M0TcglCRLLpFOzKeFZA']"
177,Walk on By,The Clash,"['Walk On By', ['Thundercat', 'Kendrick Lamar'], '6fkL9CjWmjeV6vfDxTp9OZ']"
178,Sabotage - 2009 Digital Remaster,The Beatles,
179,Search and Destroy - Iggy Pop Mix,Cream,"['Search and Destroy - Iggy Pop Mix', ['The Stooges'], '00sydAz6PeOxYzwG1dRIPi']"
180,Little Red Corvette,Dionne Warwick,"['Little Red Corvette - Single Version', ['Prince'], '6X4JeTWCuKEzKOEHXDtyBo']"
181,Born In The U.S.A.,Beastie Boys,"['Born in the U.S.A.', ['Bruce Springsteen'], '0dOg1ySSI7NkpAe89Zo0b9']"
182,Brown Eyed Girl,The Stooges,"['Brown Eyed Girl', ['Van Morrison'], '3yrSvpt2l1xhsV9Em88Pul']"
183,Mystery Train,Prince,"['Mystery Train', ['Elvis Presley'], '0GvhHQbWSnGltjl0je61dI']"
184,Let It Be - Remastered,Bruce Springsteen,"['Let It Be - Remastered 2009', ['The Beatles'], '7iN1s7xHE4ifF5povM6A48']"
185,Peggy Sue - Single Version,Van Morrison,"['Peggy Sue - Single Version', ['Buddy Holly'], '2WPXaTk7Fe4cSfiVRzuYlw']"
186,Changes - 1999 Remastered Version,Elvis Presley,
187,Kick Out the Jams,The Beatles,"['Kick out the Jams', ['Rage Against The Machine'], '2rqrgNkiWg072vbo81h02j']"
188,Hurt,Buddy Holly,"['Hurt', ['Oliver Tree'], '6Ph8QwsRfZunN5e1GGBIqa']"
189,Autobahn - 2009 Remaster,David Bowie,"['Autobahn - 2009 Remaster', ['Kraftwerk'], '31uidLEHAcF8Cw1cX1VCS8']"
190,My Girls,MC5,"['My Girls', ['Animal Collective'], '2gE0khQ948RYQOeTgCUL2a']"
191,Midnight City,Johnny Cash,"['Midnight City', ['M83'], '1eyzqe2QqGZUmfcPZtrIyt']"
192,Ziggy Stardust - 2012 Remastered Version,Kraftwerk,
193,HUMBLE.,Animal Collective,"['HUMBLE.', ['Kendrick Lamar'], '7KXjTSCq5nL1LoYtL7XAwS']"
194,Blowin' in the Wind,M83,"[""Blowin' in the Wind"", ['Bob Dylan'], '18GiV1BaXzPVYpp9rmOg0E']"
195,Seasons (Waiting On You),David Bowie,"['Seasons (Waiting On You)', ['Future Islands'], '41X9To0bQ4fpoSRri4NHiI']"
196,Subterranean Homesick Blues,Kendrick Lamar,"['Subterranean Homesick Blues', ['Bob Dylan'], '6k9DUKMJpWvu6eFG3O64Lg']"
197,Debaser,Bob Dylan,"['Debaser', ['Pixies'], '3FzKPS0oVknVlCW3PhxIHl']"
198,Nuthin' But a 'G' Thang,Future Islands,"['Nuthin\' But A ""G"" Thang', ['Dr. Dre', 'Snoop Dogg'], '4YtoipFgf4k0AfD17ZfD5X']"
199,Can't Get You out of My Head,Bob Dylan,"[""Can't Get You out of My Head"", ['Kylie Minogue'], '3E7ZwUMJFqpsDOJzEkBrQ7']"
200,Sign 'O' the Times - Single Version,Pixies,"[""Sign 'O' the Times - Single Version"", ['Prince'], '5lHWWhuRtSBKfH2xS6YAUD']"
